,Type,Date,City,Officer-defined ethnicity,Self-defined ethnicity,Gender,Age range,Removal of more than just outer clothing,Outcome
14578,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
14579,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
14580,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14581,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14582,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,True,A no further action disposal
14583,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14584,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14585,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
14586,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
14587,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
14588,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14589,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14590,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,False,Community resolution
14591,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14592,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14593,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14594,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
14595,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
14596,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14597,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,25-34,True,A no further action disposal
14598,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,18-24,True,A no further action disposal
14599,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
14600,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
